FILE,NESTED_CLASSES,NESTED_INTERFACES
src/main/java/org/openhab/core/ai/action/library/items/SetItemMetadataAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/items/SetItemStateAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/items/SetItemTagsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/items/UpdateItemAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/items/ValidateItemAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/CleanupLogsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/GetAlertsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/GetLogConfigurationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/GetLogStatisticsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/GetLogsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/GetMonitoringMetricsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/LoggingMonitoringAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/RotateLogsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/SearchLogsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/SetLogConfigurationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/monitoring/SetLogLevelAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkConfigurationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkDevicesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkInterfacesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkPortsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkProtocolsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkRoutesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkStatisticsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/GetNetworkStatusAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/ScanNetworkAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/network/TestConnectivityAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/BackupPersistenceAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/CleanupPersistenceAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/GetPersistenceConfigurationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/GetPersistenceDataAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/GetPersistenceServiceAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/GetPersistenceStatisticsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/ListPersistenceServicesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/QueryPersistenceAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/RestorePersistenceAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/persistence/SetPersistenceConfigurationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/resources/ResourceManagementAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/BulkRuleOperationsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/CreateRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/DeleteRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/DisableRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/EnableRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/ExecuteRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/GetRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/GetRuleActionsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/GetRuleConditionsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/GetRuleHistoryAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/GetRuleStatisticsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/GetRuleStatusAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/GetRuleTriggersAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/ListRulesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/SearchRulesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/UpdateRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/rules/ValidateRuleAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/CheckScriptSyntaxAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/CreateScriptAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/DeleteScriptAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/GetScriptAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/GetScriptEnginesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/ListScriptsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/ScriptExecutionAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/ScriptLibraryAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/SearchScriptsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/UpdateScriptAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/scripts/ValidateScriptAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/security/SecurityManagementAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/system/CPUInfoAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/system/DiskInfoAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/system/HealthCheckAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/system/MemoryInfoAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/system/SystemDiagnosticsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/system/SystemInfoAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/system/SystemStatusAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/DeleteThingAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/DisableThingAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/EnableThingAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/GetThingAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/GetThingConfigurationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/GetThingStatusAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/ListThingsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/SearchThingsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/ThingBridgeAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/ThingChannelsAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/ThingConfigurationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/ThingLocationAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/ThingPropertiesAction.java,1,0
src/main/java/org/openhab/core/ai/action/library/things/ThingStatusAction.java,1,0
src/main/java/org/openhab/core/ai/agent/api/Agent.java,0,1
src/main/java/org/openhab/core/ai/agent/collaboration/conflict/AgentConflictResolutionEngine.java,1,0
src/main/java/org/openhab/core/ai/agent/collaboration/context/AgentSharedContextManager.java,1,0
src/main/java/org/openhab/core/ai/agent/collaboration/coordination/AgentCoordinationManager.java,1,0
src/main/java/org/openhab/core/ai/agent/collaboration/negotiation/AgentNegotiationService.java,1,0
src/main/java/org/openhab/core/ai/agent/collaboration/negotiation/NegotiationProposal.java,1,0
src/main/java/org/openhab/core/ai/agent/collaboration/negotiation/NegotiationSession.java,1,0
src/main/java/org/openhab/core/ai/agent/collaboration/negotiation/NegotiationTemplate.java,1,0
src/main/java/org/openhab/core/ai/agent/communication/conversation/AgentConversationService.java,1,0
src/main/java/org/openhab/core/ai/agent/communication/events/AgentEventBusIntegration.java,1,0
src/main/java/org/openhab/core/ai/agent/communication/messaging/AgentMessagingService.java,1,0
src/main/java/org/openhab/core/ai/agent/communication/notifications/AgentPushNotificationManager.java,1,0
src/main/java/org/openhab/core/ai/agent/communication/protocol/AgentProtocolHandler.java,1,0
src/main/java/org/openhab/core/ai/agent/communication/streaming/AgentStreamingManager.java,1,0
src/main/java/org/openhab/core/ai/agent/delegation/AgentCardBuilder.java,1,0
src/main/java/org/openhab/core/ai/agent/delegation/DefaultAgentActionDelegationService.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/AgentSkillAdapter.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/AgentSkillExecutor.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/AgentSkillRegistry.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/AgentTaskExecutor.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/AgentTaskManager.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/AgentTaskSchemaGenerator.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/DefaultAgentSkillManager.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/ListTasksParams.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/SkillCompositionEngine.java,1,0
src/main/java/org/openhab/core/ai/agent/execution/SkillCompositionStrategy.java,0,2
src/main/java/org/openhab/core/ai/agent/infrastructure/config/AgentCommunicationConfigurationManager.java,4,0
src/main/java/org/openhab/core/ai/agent/infrastructure/performance/AgentCommunicationPerformanceMonitor.java,1,0
src/main/java/org/openhab/core/ai/agent/infrastructure/persistence/AgentOpenHABPersistenceManager.java,1,0
src/main/java/org/openhab/core/ai/agent/infrastructure/persistence/AgentPersistenceManager.java,4,0
src/main/java/org/openhab/core/ai/agent/infrastructure/security/DefaultAgentSecurityManager.java,1,0
src/main/java/org/openhab/core/ai/agent/infrastructure/synchronization/ConcurrentAgentSynchronizationManager.java,1,0
src/main/java/org/openhab/core/ai/agent/lifecycle/AgentCommunicationProtocol.java,1,0
src/main/java/org/openhab/core/ai/agent/lifecycle/AgentRegistry.java,1,0
src/main/java/org/openhab/core/ai/agent/lifecycle/AgentSecurityManager.java,1,0
src/main/java/org/openhab/core/ai/agent/transport/AgentRestExtensions.java,1,0
src/main/java/org/openhab/core/ai/agent/transport/AgentTransportFactory.java,1,0
src/main/java/org/openhab/core/ai/agent/transport/AgentTransportPortManager.java,1,0
src/main/java/org/openhab/core/ai/agent/transport/SharedSseManager.java,1,0
src/main/java/org/openhab/core/ai/agents/AbstractIntelligentAgent.java,1,0
src/main/java/org/openhab/core/ai/agents/BaseAutonomousAgent.java,1,0
src/main/java/org/openhab/core/ai/auth/APIKeyAuthenticationProvider.java,1,0
src/main/java/org/openhab/core/ai/auth/AuthenticationManager.java,1,0
src/main/java/org/openhab/core/ai/auth/DefaultAuditLogger.java,1,0
src/main/java/org/openhab/core/ai/auth/OAuth21AuthenticationProvider.java,1,0
src/main/java/org/openhab/core/ai/auth/OpenHABUsersAuthenticationProvider.java,1,0
src/main/java/org/openhab/core/ai/config/DefaultConfigurationService.java,14,0
src/main/java/org/openhab/core/ai/events/EventLogCorrelationEngine.java,1,0
src/main/java/org/openhab/core/ai/events/EventProcessingAnalytics.java,1,0
src/main/java/org/openhab/core/ai/events/EventSystemIntegration.java,1,0
src/main/java/org/openhab/core/ai/events/LogIngestionPipeline.java,1,0
src/main/java/org/openhab/core/ai/internal/AIBundleActivator.java,1,0
src/main/java/org/openhab/core/ai/model/DefaultAgentModelProvider.java,1,0
src/main/java/org/openhab/core/ai/model/ModelResponseActionParser.java,2,0
src/main/java/org/openhab/core/ai/model/ModelStatisticsAggregatorService.java,1,0
src/main/java/org/openhab/core/ai/model/ModelTrackingService.java,1,0
src/main/java/org/openhab/core/ai/model/clients/AnthropicClient.java,1,0
src/main/java/org/openhab/core/ai/model/clients/AzureOpenAIClient.java,1,0
src/main/java/org/openhab/core/ai/model/clients/GoogleGenAIClient.java,1,0
src/main/java/org/openhab/core/ai/model/clients/LMStudioClient.java,1,0
src/main/java/org/openhab/core/ai/model/clients/LocalAIClient.java,1,0
src/main/java/org/openhab/core/ai/model/clients/OllamaClient.java,1,0
src/main/java/org/openhab/core/ai/model/clients/OpenAIClient.java,1,0
src/main/java/org/openhab/core/ai/model/clients/VModelClient.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentMemory.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelContextBuilder.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelContextCache.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelContextEnricher.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelContextValidator.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelDecisionEngine.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelDecisionOptimizer.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelDecisionValidator.java,1,1
src/main/java/org/openhab/core/ai/reasoning/AgentModelNLPProcessor.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelPromptBuilder.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelPromptOptimizer.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelPromptValidator.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelSecurityManager.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AgentModelSelector.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AutonomousBehaviorConfig.java,9,0
src/main/java/org/openhab/core/ai/reasoning/AutonomousEventProcessor.java,1,0
src/main/java/org/openhab/core/ai/reasoning/AutonomousReasoningInputManager.java,1,0
src/main/java/org/openhab/core/ai/reasoning/DefaultAgentModelProvider.java,1,0
src/main/java/org/openhab/core/ai/reasoning/ErrorLogger.java,1,0
src/main/java/org/openhab/core/ai/reasoning/LearningAdaptationSystem.java,5,0
src/main/java/org/openhab/core/ai/reasoning/MemoryCache.java,1,0
src/main/java/org/openhab/core/ai/reasoning/MultiStepReasoningEngine.java,1,0
src/main/java/org/openhab/core/ai/reasoning/ReasoningOrchestrationService.java,1,0
src/main/java/org/openhab/core/ai/reasoning/SafetyConstraintManager.java,1,0
src/main/java/org/openhab/core/ai/reasoning/SecurityAuditor.java,1,0
src/main/java/org/openhab/core/ai/reasoning/SecurityIntegrationService.java,1,0
src/main/java/org/openhab/core/ai/reasoning/SharedModelReasoningEngine.java,1,0
src/main/java/org/openhab/core/ai/rest/RestSecurityFramework.java,1,0
src/main/java/org/openhab/core/ai/rest/SharedRestInfrastructure.java,1,0
src/main/java/org/openhab/core/ai/stub/A2AStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/AuthenticationStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/DatabaseStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/EventStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/FilesystemStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/ItemStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/MCPStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/NetworkStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/RuleStubService.java,1,0
src/main/java/org/openhab/core/ai/stub/StubFramework.java,1,0
src/main/java/org/openhab/core/ai/stub/StubHttpServer.java,1,0
src/main/java/org/openhab/core/ai/stub/StubMQTTBroker.java,1,0
src/main/java/org/openhab/core/ai/stub/StubWebSocketServer.java,1,0
src/main/java/org/openhab/core/ai/stub/ThingStubService.java,1,0
src/main/java/org/openhab/core/ai/tool/adapter/BaseAdapter.java,1,0
src/main/java/org/openhab/core/ai/tool/adapter/ResourceAdapter.java,1,0
src/main/java/org/openhab/core/ai/tool/adapter/ToolAdapter.java,1,0
src/main/java/org/openhab/core/ai/tool/api/validation/DefaultValidationEngine.java,1,0
src/main/java/org/openhab/core/ai/tool/api/validation/ValidationEngine.java,2,0
src/main/java/org/openhab/core/ai/tool/api/validation/ValidationRule.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/BaseCompletion.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/CompletionAdapterBridge.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/CompletionRegistrationService.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/CompletionSuggestionService.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/CompletionTemplateService.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/adapter/CommandCompletionAdapter.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/adapter/ConfigurationCompletionAdapter.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/adapter/ItemCompletionHandler.java,1,0
src/main/java/org/openhab/core/ai/tool/completions/adapter/RuleCompletionAdapter.java,1,0
src/main/java/org/openhab/core/ai/tool/compliance/ComplianceValidator.java,1,1
src/main/java/org/openhab/core/ai/tool/elicitation/ElicitationManager.java,1,0
src/main/java/org/openhab/core/ai/tool/elicitation/OpenHABElicitationService.java,1,0
src/main/java/org/openhab/core/ai/tool/error/DefaultErrorRecoveryService.java,1,0
src/main/java/org/openhab/core/ai/tool/error/ToolErrorRecoveryManager.java,1,0
src/main/java/org/openhab/core/ai/tool/error/recovery/DefaultErrorRecoveryStrategy.java,1,0
src/main/java/org/openhab/core/ai/tool/factory/CompletionFactory.java,1,0
src/main/java/org/openhab/core/ai/tool/factory/PromptFactory.java,1,0
src/main/java/org/openhab/core/ai/tool/filter/validators/DefaultFilterValidator.java,1,0
src/main/java/org/openhab/core/ai/tool/filter/validators/FilterValidator.java,2,0
src/main/java/org/openhab/core/ai/tool/library/completions/CompletionManagementTool.java,1,0
src/main/java/org/openhab/core/ai/tool/library/karaf/KarafManagementTool.java,5,0
src/main/java/org/openhab/core/ai/tool/library/prompts/PromptManagementTool.java,1,0
src/main/java/org/openhab/core/ai/tool/library/resources/ResourceManagementTool.java,1,0
src/main/java/org/openhab/core/ai/tool/logging/ToolLoggingManager.java,1,0
src/main/java/org/openhab/core/ai/tool/logging/audit/AuditLogger.java,2,0
src/main/java/org/openhab/core/ai/tool/logging/audit/DefaultAuditLogger.java,1,0
src/main/java/org/openhab/core/ai/tool/manager/ToolErrorRecoveryManager.java,1,0
src/main/java/org/openhab/core/ai/tool/manager/ToolLoggingManager.java,1,0
src/main/java/org/openhab/core/ai/tool/manager/ToolSecurityManager.java,1,0
src/main/java/org/openhab/core/ai/tool/monitoring/DefaultSystemHealthMonitor.java,1,0
src/main/java/org/openhab/core/ai/tool/monitoring/ToolHealthMonitor.java,1,0
src/main/java/org/openhab/core/ai/tool/monitoring/health/DefaultSystemCheck.java,1,0
src/main/java/org/openhab/core/ai/tool/notifications/DefaultNotificationService.java,1,0
src/main/java/org/openhab/core/ai/tool/progress/DefaultProgressTrackingService.java,1,0
src/main/java/org/openhab/core/ai/tool/progress/ProgressTrackingManager.java,1,0
src/main/java/org/openhab/core/ai/tool/progress/tracking/DefaultProgressTracker.java,1,0
src/main/java/org/openhab/core/ai/tool/prompts/BasePrompt.java,1,0
src/main/java/org/openhab/core/ai/tool/prompts/PromptAdapterBridge.java,1,0
src/main/java/org/openhab/core/ai/tool/prompts/PromptExecutionService.java,1,0
src/main/java/org/openhab/core/ai/tool/prompts/PromptRegistrationService.java,1,0
src/main/java/org/openhab/core/ai/tool/prompts/PromptTemplateService.java,1,0
